URL,company_name,headquarters,industry,total_rating,highest_score_name,highest_score_point,course_name,duration,start_date,entry_deadline,catch_phrase
/2026/company/r411362057/internship/,株式会社ハウジングプラザ,福岡,住宅／不動産／建設,N/A,N/A,N/A,NGなし！新入社員とトーク形式座談会コース！,1日,10月随時、1月随時、2月随時(福岡),1月15日,”選ばれる人”がわかる！対面コース（２Days・1Day) orオンラインコース(半日）
/2026/company/r214582068/internship/,インザライフ株式会社,静岡,芸能・芸術／その他サービス／レジャー・アミューズメント・パチンコ,N/A,N/A,N/A,「エンターテインメント業界で働く」を考える1日,1日,10月随時、11月随時(静岡)、10月随時、11月随時(愛知),11月30日,エンターテインメントを通じて笑顔を届ける。イベント運営会社『IN　THE　LIFE』
/2026/company/r271671006/internship/,キーサイト・テクノロジー株式会社,東京,総合電機（電気・電子機器）／精密機器／重電・産業用電気機器／半導体・電子部品・その他,N/A,N/A,N/A,選考なし【理系向け】エンジニア職種体験・半日実習,1日,12月随時、2月随時(東京)、12月随時、2月随時(兵庫),1月24日,世界最大級の電子計測機器メーカーで実習体験- 計測で未知なる世界を解き明かそう
/2026/company/r129321028/internship/,山形航空電子株式会社,山形,半導体・電子部品・その他／自動車／精密機器／機械,N/A,N/A,N/A,【対面】1day職場体験,1日,11/8(山形),10月25日,【対面】1day職場体験 /【WEB】コネクタが分かる！オープンカンパニー
/2026/company/r381612096/internship/,マルマストリグ株式会社,愛媛,建設／建材・エクステリア／建築設計／商社（建材・エクステリア）／建設コンサルタント,N/A,N/A,N/A,社内・現場見学付き！業界理解を深めるコース,1日,1月随時(愛媛),12月10日,【選考なし・先着順】普段見れない建設業界のプロの仕事☆
/2026/company/r655700060/internship/,日伸ソフトウエア株式会社,東京,ソフトウェア／インターネット関連／情報処理／コンピュータ・通信機器・ＯＡ機器,N/A,N/A,N/A,【先着順・選考なし】IT業界で働く魅力★1day仕事体験,1日,1月随時(東京)、1月随時(WEB),1月24日,★理系歓迎！未経験も歓迎！★【WEB/対面】先着順・選考なし　ITの魅力を知ろう！
/2026/company/r698262014/internship/,丸和セレクトホーム株式会社,埼玉,住宅／建設／不動産／建築設計／コンサルタント・専門コンサルタント,N/A,N/A,N/A,不動産業界のリアルを知る！店舗体験コース,1日,1月随時(埼玉),1月24日,新たな感動を創造する“VISION FOR SELECT”　丸和セレクトホームを知る1日！
/2026/company/r204330046/internship/,要建設株式会社,京都,建設／住宅／建材・エクステリア／建築設計／不動産,N/A,N/A,N/A,京都の景観づくりを担う仕事を体験する,1日,12月随時、1月随時、2月随時、3月随時(京都),1月24日,京都の景観づくりを担う仕事を目の前で体験できます！
/2026/company/r949172047/internship/,株式会社エビデント長野,長野,精密機器,N/A,N/A,N/A,エビデント長野の強みを知る！１day仕事体験,1日,1月随時(長野),1月24日,エビデント長野の現場力を感じられる1day仕事体験開催！
/2026/company/r634881083/internship/,株式会社ライフ白銅,東京,スポーツ・フィットネス・ヘルス関連施設／その他専門店・小売,N/A,N/A,N/A,オープン・カンパニー,1日,10月随時、11月随時、1月随時(WEB),1月24日,ライフ白銅を知る！オープン・カンパニー開催！
/2026/company/r505472099/internship/,ゼット株式会社,大阪,商社（スポーツ用品）,N/A,N/A,N/A,秋開催：会社説明会ＶＴＲ（Ｗｅｂコンテンツ）,1日,10月随時、11月随時(WEB),11月29日,【VTR配信】野球だけじゃない！あなたが知らないゼットとは。
/2026/company/r305922018/internship/,五領建設株式会社,熊本,建設コンサルタント／建築設計／メンテナンス・清掃事業,N/A,N/A,N/A,【交通費付き】仕事のリアルを体感できる1day仕事体験,1日,10月随時、11月随時(熊本),11月30日,熊本開催★交通費付き！建設の仕事を体感！1day仕事体験　【WEB開催もあります】
/2026/company/r142232047/internship/,焼津水産化学工業株式会社,静岡,食品,N/A,N/A,N/A,焼津水産化学工業1day仕事体験,1日,12月下旬、2月上旬(静岡),1月24日,【オンライン開催】焼津水産化学工業1day仕事体験！
/2026/company/r397320022/internship/,エア・ウォーターアグリ＆フーズ株式会社,東京,食品／商社（食料品）,N/A,N/A,N/A,オープン・カンパニー,1日,11月随時、12月随時(WEB),12月20日,業界理解が深まる！オープン・カンパニー
/2026/company/r800642008/internship/,ENEOS喜入基地株式会社,鹿児島,エネルギー／設備・設備工事関連／機械／石油・石炭,N/A,N/A,N/A,【Web開催】会社説明会,1日,11月随時(鹿児島)、12月随時、1月随時(WEB),1月24日,【備蓄？中継？ブレンド？】世界最大級の原油中継・備蓄基地の役割を知る！
/2026/company/r273102092/internship/,株式会社エルアイン,東京,ソフトウェア／情報処理／インターネット関連／各種ビジネスサービス／コンサルタント・専門コンサルタント,N/A,N/A,N/A,先着順・選考なし【WEB開催】会社説明会,1日,10月随時、11月随時、12月随時(WEB),12月31日,【WEB開催】会社説明＋若手先輩社員のホンネを聞こう！
/2026/company/r784871033/internship/,株式会社大塚屋,愛知,専門店（服飾雑貨・繊維製品・貴金属）／商社（アパレル・服飾雑貨・貴金属）／商社（繊維製品）／その他専門店・小売,N/A,N/A,N/A,布地で流行をつくる！大塚屋の1day仕事体験★,1日,1月随時(愛知),1月26日,布地で流行をつくる！大塚屋の1day仕事体験★
/2026/company/r692362043/internship/,株式会社モンクレールジャパン,東京,商社（アパレル・服飾雑貨・貴金属）／アパレル・服飾・雑貨・皮革製品／専門店（服飾雑貨・繊維製品・貴金属）,N/A,N/A,N/A,ラグジュアリーブランド、販売体験プログラム,2、3日程度,2月随時(東京),1月24日,「社員の人柄の良さに惹かれた」声多数！実店舗での業務体験プログラム
/2026/company/r997262038/internship/,株式会社大潟村あきたこまち生産者協会,秋田,食品,N/A,N/A,N/A,【先着順・選考なし】お気軽参加OK！会社説明＆案内会,1日,11月随時、12月随時、1月随時(秋田),1月24日,～生産＆加工を行う食品メーカー～ 会社説明会・オープンカンパニー
/2026/company/r874691076/internship/,株式会社ホクレン商事,北海道,スーパー・ストア／商社（食料品）／生命保険／リース・レンタル／不動産,N/A,N/A,N/A,★　納得！販売職の現在と未来◆働くを考える1日　★,1日,2月随時(北海道),1月24日,★☆★☆★　販売職体験♪　★☆★☆★
/2026/company/r966371022/internship/,株式会社テラダ,埼玉,商社（機械）／商社（建材・エクステリア）／その他商社,N/A,N/A,N/A,業界　会社説明会　1day仕事体験コース,1日,1月随時(埼玉),1月24日,テラダを知ろう！業界・会社説明会・1day仕事体験
/2026/company/r703802064/internship/,株式会社ユニソフト,東京,情報処理／ソフトウェア／インターネット関連,N/A,N/A,N/A,株式会社ユニソフトを知る。企業説明会,1日,1月随時、2月随時(東京),1月24日,株式会社ユニソフトを知る。企業説明会
/2026/company/r472020035/internship/,株式会社スカイウイル,東京,ソフトウェア／情報処理／インターネット関連／コンサルタント・専門コンサルタント,4.73,人事とのやりとり,4.55,【Web開催】AI開発/アプリ開発のお仕事体験会,1日,11月随時、12月随時、1月随時(WEB),1月24日,【★知りたい★】AIエンジニア/WEBアプリ開発エンジニアのリアルなお仕事紹介！
/2026/company/r467262078/internship/,株式会社フジソフトラボ,東京,ソフトウェア／情報処理／インターネット関連,N/A,N/A,N/A,システム開発エンジニア職会社説明会,1日,12月随時、1月随時(東京),1月31日,★☆★☆★　システム開発エンジニア職会社説明会　『文理不問』　★☆★☆★
